Snapshot of one example-suite run, rewritten in full by every run of
that suite. It records what THAT run did; it is not a curated baseline.
To gate CI, use the exit status of testing/run_tests.sh.

Suite:      core (this repository alone; extension-dependent trees excluded)
Command:    testing/run_tests.sh le   (or: runTests)
Sibling:    testSuiteStatus.txt — all (core + trees requiring the proprietary le_extensions.pl)
Generated:  2026-09-18 12:41:00 UTC
SWI-Prolog: 10.1.12
Tree:       /work/

Test Summary:
-------------
Files processed: 193
Total tests:     1042
Passed:          1042
Failed:          0
Errors/Timeouts: 0
-------------

Detailed File Summary:
  [NONE] examples/moreExamples/alice.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/citizenship.le: 4 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/dates.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/happy_dragon.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/numbers.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/royal_family.le: 8 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/tea_party.le: 1 Pass, 0 Fail, 0 Error
  [NONE] examples/moreExamples/domains/other/augmentedsem.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/moreExamples/domains/other/enclosure.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/other/flying_dragon.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/other/sequencer.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/other/sunangel.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/tax/1_cgt_assets_and_exemptions_3.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/tax/1_net_asset_value_test_3.le: 4 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/tax/3_rollover_3.le: 6 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/tax/4_affiliates_3.le: 7 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/tax/div36_loss_sequencing.le: 32 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/tax/gst.le: 12 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/tax/gstturnover.le: 49 Pass, 0 Fail, 0 Error
  [NONE] examples/moreExamples/domains/tax/journal_balance.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/domains/tax/payg.le: 25 Pass, 0 Fail, 0 Error
