"code","group","article","description"
"A15.0","1","A57718","Tuberculosis of lung"
"A15.4","1","A57718","Tuberculosis of intrathoracic lymph nodes"
"A15.5","1","A57718","Tuberculosis of larynx, trachea and bronchus"
"A15.6","1","A57718","Tuberculous pleurisy"
"A15.7","1","A57718","Primary respiratory tuberculosis"
"A15.8","1","A57718","Other respiratory tuberculosis"
"A17.0","1","A57718","Tuberculous meningitis"
"A17.1","1","A57718","Meningeal tuberculoma"
"A17.81","1","A57718","Tuberculoma of brain and spinal cord"
"A17.82","1","A57718","Tuberculous meningoencephalitis"
"A17.83","1","A57718","Tuberculous neuritis"
"A17.89","1","A57718","Other tuberculosis of nervous system"
"A18.01","1","A57718","Tuberculosis of spine"
"A18.02","1","A57718","Tuberculous arthritis of other joints"
"A18.03","1","A57718","Tuberculosis of other bones"
"A18.09","1","A57718","Other musculoskeletal tuberculosis"
"A18.11","1","A57718","Tuberculosis of kidney and ureter"
"A18.12","1","A57718","Tuberculosis of bladder"
"A18.13","1","A57718","Tuberculosis of other urinary organs"
"A18.14","1","A57718","Tuberculosis of prostate"
"A18.15","1","A57718","Tuberculosis of other male genital organs"
"A18.16","1","A57718","Tuberculosis of cervix"
"A18.17","1","A57718","Tuberculous female pelvic inflammatory disease"
"A18.18","1","A57718","Tuberculosis of other female genital organs"
"A18.2","1","A57718","Tuberculous peripheral lymphadenopathy"
"A18.31","1","A57718","Tuberculous peritonitis"
"A18.32","1","A57718","Tuberculous enteritis"
"A18.39","1","A57718","Retroperitoneal tuberculosis"
"A18.4","1","A57718","Tuberculosis of skin and subcutaneous tissue"
"A18.51","1","A57718","Tuberculous episcleritis"
"A18.52","1","A57718","Tuberculous keratitis"
"A18.53","1","A57718","Tuberculous chorioretinitis"
"A18.54","1","A57718","Tuberculous iridocyclitis"
"A18.59","1","A57718","Other tuberculosis of eye"
"A18.6","1","A57718","Tuberculosis of (inner) (middle) ear"
"A18.7","1","A57718","Tuberculosis of adrenal glands"
"A18.81","1","A57718","Tuberculosis of thyroid gland"
"A18.82","1","A57718","Tuberculosis of other endocrine glands"
"A18.83","1","A57718","Tuberculosis of digestive tract organs, not elsewhere classified"
"A18.84","1","A57718","Tuberculosis of heart"
"A18.85","1","A57718","Tuberculosis of spleen"
"A18.89","1","A57718","Tuberculosis of other sites"
"A19.0","1","A57718","Acute miliary tuberculosis of a single specified site"
"A19.1","1","A57718","Acute miliary tuberculosis of multiple sites"
"A19.2","1","A57718","Acute miliary tuberculosis, unspecified"
"A19.8","1","A57718","Other miliary tuberculosis"
"B38.0","1","A57718","Acute pulmonary coccidioidomycosis"
"B38.1","1","A57718","Chronic pulmonary coccidioidomycosis"
"B38.3","1","A57718","Cutaneous coccidioidomycosis"
"B38.4","1","A57718","Coccidioidomycosis meningitis"
"B38.7","1","A57718","Disseminated coccidioidomycosis"
"B38.81","1","A57718","Prostatic coccidioidomycosis"
"B38.89","1","A57718","Other forms of coccidioidomycosis"
"B39.0","1","A57718","Acute pulmonary histoplasmosis capsulati"
"B39.1","1","A57718","Chronic pulmonary histoplasmosis capsulati"
"B39.3","1","A57718","Disseminated histoplasmosis capsulati"
"B39.5","1","A57718","Histoplasmosis duboisii"
"C82.01","1","A57718","Follicular lymphoma grade I, lymph nodes of head, face, and neck"
"C82.02","1","A57718","Follicular lymphoma grade I, intrathoracic lymph nodes"
"C82.03","1","A57718","Follicular lymphoma grade I, intra-abdominal lymph nodes"
"C82.04","1","A57718","Follicular lymphoma grade I, lymph nodes of axilla and upper limb"
"C82.05","1","A57718","Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb"
"C82.06","1","A57718","Follicular lymphoma grade I, intrapelvic lymph nodes"
"C82.07","1","A57718","Follicular lymphoma grade I, spleen"
"C82.08","1","A57718","Follicular lymphoma grade I, lymph nodes of multiple sites"
"C82.09","1","A57718","Follicular lymphoma grade I, extranodal and solid organ sites"
"C82.0A","1","A57718","Follicular lymphoma grade I, in remission"
